date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
06/30/2024,SXT18,SOSE3,0.8167,0.7778,0.3848,2.5,
06/30/2024,SXT18,SOSE3,0.8167,0.774,0.3848,2.69,
06/30/2024,SXT18,SOSE3,0.8167,0.7671,0.3848,2.86,
06/30/2024,SXT18,SOSE3,0.8167,0.7645,0.3848,2.94,
06/30/2024,SXT18,SOSE3,0.8167,0.7614,0.3848,3.01,
06/30/2024,SXT19,SOSE3,1.1281,1.1208,0.554,0.21,
06/30/2024,SXT19,SOSE3,1.1281,1.1016,0.554,0.83,
06/30/2024,SXT19,SOSE3,1.1281,1.0901,0.554,1.48,
06/30/2024,SXT19,SOSE3,1.1281,1.0816,0.554,1.95,
06/30/2024,SXT19,SOSE3,1.1281,1.0734,0.554,2.28,
06/30/2024,SXT19,SOSE3,1.1281,1.0662,0.554,2.55,
06/30/2024,SXT19,SOSE3,1.1281,1.0623,0.554,2.6,
06/30/2024,SXT19,SOSE3,1.1281,1.0545,0.554,2.72,
06/30/2024,SXT19,SOSE3,1.1281,1.046,0.554,2.85,
06/30/2024,SXT19,SOSE3,1.1281,1.0373,0.554,3.02,
06/30/2024,SXT30,JUAS,2.2484,2.2449,1.0343,0.04,
06/30/2024,SXT30,JUAS,2.2484,2.0954,1.0343,0.86,
06/30/2024,SXT30,JUAS,2.2484,2.0613,1.0343,1.13,
06/30/2024,SXT30,JUAS,2.2484,2.0251,1.0343,1.59,
06/30/2024,SXT30,JUAS,2.2484,2.0051,1.0343,1.81,
06/30/2024,SXT30,JUAS,2.2484,1.9818,1.0343,2.07,
06/30/2024,SXT30,JUAS,2.2484,1.9616,1.0343,2.28,
06/30/2024,SXT30,JUAS,2.2484,1.9513,1.0343,2.46,
06/30/2024,SXT30,JUAS,2.2484,1.9348,1.0343,2.55,
06/30/2024,SXT30,JUAS,2.2484,1.9274,1.0343,2.64,
06/30/2024,SXT30,JUAS,2.2484,1.9153,1.0343,2.75,
06/30/2024,SXT30,JUAS,2.2484,1.9035,1.0343,2.95,
05/27/2024,TD16,RHVI3,0.5696,0.5621,0.2221,0.09,
05/27/2024,TD16,RHVI3,0.5696,0.5384,0.2221,0.75,
05/27/2024,TD16,RHVI3,0.5696,0.5306,0.2221,1.08,
05/27/2024,TD16,RHVI3,0.5696,0.5242,0.2221,1.54,
05/27/2024,TD16,RHVI3,0.5696,0.517,0.2221,1.84,
05/27/2024,TD16,RHVI3,0.5696,0.5149,0.2221,2.02,
05/27/2024,TD16,RHVI3,0.5696,0.509,0.2221,2.19,
05/27/2024,TD16,RHVI3,0.5696,0.5045,0.2221,2.4,
05/27/2024,TD16,RHVI3,0.5696,0.4949,0.2221,2.79,
05/27/2024,TD16,RHVI3,0.5696,0.4751,0.2221,3.17,
05/27/2024,TD19,RHVI3,0.7262,0.7211,0.3242,0.08,
05/27/2024,TD19,RHVI3,0.7262,0.7058,0.3242,0.41,
05/27/2024,TD19,RHVI3,0.7262,0.6959,0.3242,0.96,
05/27/2024,TD19,RHVI3,0.7262,0.685,0.3242,1.33,
05/27/2024,TD19,RHVI3,0.7262,0.681,0.3242,1.71,
05/27/2024,TD19,RHVI3,0.7262,0.6755,0.3242,1.99,
05/27/2024,TD19,RHVI3,0.7262,0.6692,0.3242,2.16,
05/27/2024,TD19,RHVI3,0.7262,0.6643,0.3242,2.4,
05/27/2024,TD19,RHVI3,0.7262,0.5629,0.3242,2.67,
05/27/2024,TD19,RHVI3,0.7262,0.647,0.3242,2.72,
07/06/2024,SXT24,RHVI3,0.539,0.5258,0.2258,0.2,
07/06/2024,SXT24,RHVI3,0.539,0.5133,0.2258,0.88,
07/06/2024,SXT24,RHVI3,0.539,0.5059,0.2258,1.2,
07/06/2024,SXT24,RHVI3,0.539,0.4988,0.2258,1.6,
07/06/2024,SXT24,RHVI3,0.539,0.4867,0.2258,1.98,
07/06/2024,SXT24,RHVI3,0.539,0.481,0.2258,2.3,
07/06/2024,SXT24,RHVI3,0.539,0.4746,0.2258,2.45,
07/06/2024,SXT24,RHVI3,0.539,0.4666,0.2258,2.75,
07/06/2024,SXT24,RHVI3,0.539,0.4641,0.2258,2.84,
07/06/2024,SXT24,RHVI3,0.539,0.459,0.2258,2.99,
07/06/2024,SXT26,RHVI3,0.9073,0.8806,0.3446,0.1,
07/06/2024,SXT26,RHVI3,0.9073,0.858,0.3446,1.1,
07/06/2024,SXT26,RHVI3,0.9073,0.8462,0.3446,1.26,
07/06/2024,SXT26,RHVI3,0.9073,0.8264,0.3446,1.65,
07/06/2024,SXT26,RHVI3,0.9073,0.8178,0.3446,1.93,
07/06/2024,SXT26,RHVI3,0.9073,0.8001,0.3446,2.13,
07/06/2024,SXT26,RHVI3,0.9073,0.786,0.3446,2.3,
07/06/2024,SXT26,RHVI3,0.9073,0.7655,0.3446,2.45,
07/06/2024,SXT26,RHVI3,0.9073,0.7499,0.3446,2.65,
07/06/2024,SXT26,RHVI3,0.9073,0.7442,0.3446,2.94,
07/01/2024,SXT11,MATR3,0.4632,0.4603,0.2336,0.02,
07/01/2024,SXT11,MATR3,0.4632,0.4426,0.2336,0.22,
07/01/2024,SXT11,MATR3,0.4632,0.433,0.2336,0.48,
07/01/2024,SXT11,MATR3,0.4632,0.4223,0.2336,1.22,
07/01/2024,SXT11,MATR3,0.4632,0.4179,0.2336,1.91,
07/01/2024,SXT11,MATR3,0.4632,0.4138,0.2336,2.51,
07/01/2024,SXT11,MATR3,0.4632,0.4102,0.2336,2.8,
07/01/2024,SXT11,MATR3,0.4632,0.4065,0.2336,2.95,
07/01/2024,SXT11,MATR3,0.4632,0.4022,0.2336,3.08,
07/01/2024,SXT11,MATR3,0.4632,0.3977,0.2336,3.4,
07/18/2024,SVT02,PRAN3,0.2072,0.2044,0.0931,0.1,
07/18/2024,SVT02,PRAN3,0.2072,0.1806,0.0931,0.85,
07/18/2024,SVT02,PRAN3,0.2072,0.1722,0.0931,1.35,
07/18/2024,SVT02,PRAN3,0.2072,0.1672,0.0931,1.6,
07/18/2024,SVT02,PRAN3,0.2072,0.1631,0.0931,1.8,
07/18/2024,SVT02,PRAN3,0.2072,0.158,0.0931,2.03,
07/18/2024,SVT02,PRAN3,0.2072,0.1542,0.0931,2.26,
07/18/2024,SVT02,PRAN3,0.2072,0.1522,0.0931,2.48,
07/18/2024,SVT02,PRAN3,0.2072,0.1482,0.0931,2.55,
07/18/2024,SVT02,PRAN3,0.2072,0.1457,0.0931,2.67,
07/18/2024,SVT11,JUPI,0.6933,0.6853,0.3167,0.09,
07/18/2024,SVT11,JUPI,0.6933,0.6044,0.3167,0.64,
07/18/2024,SVT11,JUPI,0.6933,0.5976,0.3167,0.95,
07/18/2024,SVT11,JUPI,0.6933,0.5813,0.3167,1.72,
07/18/2024,SVT11,JUPI,0.6933,0.5725,0.3167,2.09,
07/18/2024,SVT11,JUPI,0.6933,0.5643,0.3167,2.34,
07/18/2024,SVT11,JUPI,0.6933,0.5607,0.3167,2.42,
07/18/2024,SVT11,JUPI,0.6933,0.5567,0.3167,2.54,
07/18/2024,SVT11,JUPI,0.6933,0.5512,0.3167,2.76,
07/18/2024,SVT11,JUPI,0.6933,0.5455,0.3167,2.93,
07/18/2024,SVT09,JUPI,1.6979,1.6797,0.7748,0.13,
07/18/2024,SVT09,JUPI,1.6979,1.5089,0.7748,0.57,
07/18/2024,SVT09,JUPI,1.6979,1.4804,0.7748,1.02,
07/18/2024,SVT09,JUPI,1.6979,1.4553,0.7748,1.52,
07/18/2024,SVT09,JUPI,1.6979,1.4234,0.7748,1.99,
07/18/2024,SVT09,JUPI,1.6979,1.4139,0.7748,2.11,
07/18/2024,SVT09,JUPI,1.6979,1.4036,0.7748,2.23,
07/18/2024,SVT09,JUPI,1.6979,1.3928,0.7748,2.35,
07/18/2024,SVT09,JUPI,1.6979,1.3736,0.7748,2.48,
07/18/2024,SVT09,JUPI,1.6979,1.3659,0.7748,2.77,
07/18/2024,SVT10,JUPI,1.3714,1.3668,0.6801,0.1,
07/18/2024,SVT10,JUPI,1.3714,1.3091,0.6801,0.45,
07/18/2024,SVT10,JUPI,1.3714,1.2558,0.6801,0.89,
07/18/2024,SVT10,JUPI,1.3714,1.2357,0.6801,1.29,
07/18/2024,SVT10,JUPI,1.3714,1.2095,0.6801,1.81,
07/18/2024,SVT10,JUPI,1.3714,1.1865,0.6801,2.24,
07/18/2024,SVT10,JUPI,1.3714,1.1797,0.6801,2.35,
07/18/2024,SVT10,JUPI,1.3714,1.1701,0.6801,2.53,
07/18/2024,SVT10,JUPI,1.3714,1.1585,0.6801,2.71,
07/18/2024,SVT10,JUPI,1.3714,1.1504,0.6801,2.96,
07/18/2024,SVT08,JUPI,1.96,1.8445,0.8721,0.1,
07/18/2024,SVT08,JUPI,1.96,1.7257,0.8721,0.78,
07/18/2024,SVT08,JUPI,1.96,1.6848,0.8721,1.2,
07/18/2024,SVT08,JUPI,1.96,1.6518,0.8721,1.67,
07/18/2024,SVT08,JUPI,1.96,1.6238,0.8721,2.07,
07/18/2024,SVT08,JUPI,1.96,1.6061,0.8721,2.31,
07/18/2024,SVT08,JUPI,1.96,1.593,0.8721,2.48,
07/18/2024,SVT08,JUPI,1.96,1.5825,0.8721,2.58,
07/18/2024,SVT08,JUPI,1.96,1.5686,0.8721,2.71,
07/18/2024,SVT08,JUPI,1.96,1.5628,0.8721,2.8,
07/24/2024,EIT01,MATR3,0.6954,0.653,0.3198,0.33,
07/24/2024,EIT01,MATR3,0.6954,0.619,0.3198,0.92,
07/24/2024,EIT01,MATR3,0.6954,0.6054,0.3198,1.57,
07/24/2024,EIT01,MATR3,0.6954,0.5942,0.3198,1.97,
07/24/2024,EIT01,MATR3,0.6954,0.5878,0.3198,2.18,
07/24/2024,EIT01,MATR3,0.6954,0.5819,0.3198,2.33,
07/24/2024,EIT01,MATR3,0.6954,0.5753,0.3198,2.42,
07/24/2024,EIT01,MATR3,0.6954,0.5703,0.3198,2.61,
07/24/2024,EIT01,MATR3,0.6954,0.5636,0.3198,2.84,
07/24/2024,EIT01,MATR3,0.6954,0.5607,0.3198,3.04,
07/24/2024,EIT02,MATR3,0.4009,0.3967,0.175,0.05,
07/24/2024,EIT02,MATR3,0.4009,0.3517,0.175,0.98,
07/24/2024,EIT02,MATR3,0.4009,0.3462,0.175,1.42,
07/24/2024,EIT02,MATR3,0.4009,0.3375,0.175,1.86,
07/24/2024,EIT02,MATR3,0.4009,0.3353,0.175,1.96,
07/24/2024,EIT02,MATR3,0.4009,0.3313,0.175,2.1,
07/24/2024,EIT02,MATR3,0.4009,0.3274,0.175,2.16,
07/24/2024,EIT02,MATR3,0.4009,0.3227,0.175,2.39,
07/24/2024,EIT02,MATR3,0.4009,0.3197,0.175,2.62,
07/24/2024,EIT02,MATR3,0.4009,0.3159,0.175,2.96,
07/24/2024,EIT03,MATR3,0.4325,0.4269,0.223,0.06,
07/24/2024,EIT03,MATR3,0.4325,0.4064,0.223,0.89,
07/24/2024,EIT03,MATR3,0.4325,0.4016,0.223,1.16,
07/24/2024,EIT03,MATR3,0.4325,0.3979,0.223,1.48,
07/24/2024,EIT03,MATR3,0.4325,0.3942,0.223,1.83,
07/24/2024,EIT03,MATR3,0.4325,0.3918,0.223,2.31,
07/24/2024,EIT03,MATR3,0.4325,0.3876,0.223,2.47,
07/24/2024,EIT03,MATR3,0.4325,0.3847,0.223,2.62,
07/24/2024,EIT03,MATR3,0.4325,0.3823,0.223,2.86,
07/24/2024,EIT03,MATR3,0.4325,0.3789,0.223,3.02,
08/07/2024,RHTR1,RHTR,0.4561,0.4538,0.2033,0.41,
08/07/2024,RHTR1,RHTR,0.4561,0.4403,0.2033,0.84,
08/07/2024,RHTR1,RHTR,0.4561,0.4334,0.2033,1.19,
08/07/2024,RHTR1,RHTR,0.4561,0.429,0.2033,1.47,
08/07/2024,RHTR1,RHTR,0.4561,0.4236,0.2033,1.83,
08/07/2024,RHTR1,RHTR,0.4561,0.4176,0.2033,2.06,
08/07/2024,RHTR1,RHTR,0.4561,0.4108,0.2033,2.23,
08/07/2024,RHTR1,RHTR,0.4561,0.4072,0.2033,2.52,
